Sample	GroupName	V5_mCherry..143.	HA_GFP..151.	NoTag	SampleType	SampleName	X	X.1	Device.Name	Plate.Name	Barcode	Date.Run	Well.Row	Well.Column	Well.Name	Group.Name	ROX.Threshold	FAM.Threshold	VIC.Threshold	CY5.Threshold	Number.Of.Positives.in.ROX	Number.Of.Positives.in.FAM	Number.of.templates.in.FAM	Concentration.in.FAM	CV..estimates.in.FAM	Number.Of.Positives.in.VIC	Number.of.templates.in.VIC	Concentration.in.VIC	CV..estimates.in.VIC	Number.Of.Positives.in.CY5	Number.of.templates.in.CY5	Concentration.in.CY5	CV..estimates.in.CY5	User.defined.attribute.1	User.defined.attribute.2	User.defined.attribute.3	IPantibody	Sample_Type	IPorder
51	R12	3T3	HEK293		V5 IP 2	3T3:V5_mCherry (143)-HEK293:HA_GFP (151)	3T3:V5_mCherry (143)	HEK293:HA_GFP (151)	dPCR2_001	6.16309e+11	6.16309e+11	2/22/19 13:45	5	3	E03	R12	14.2	51.5	32.4	16.2	7583	52	59	31	13	16	18	10.5	24	2799	3954	2095	1.8	NA	NA	NA	V5	HA -> V5	2nd
52	R12	3T3	HEK293		V5 IP 2	3T3:V5_mCherry (143)-HEK293:HA_GFP (151)	3T3:V5_mCherry (143)	HEK293:HA_GFP (151)	dPCR2_001	6.16309e+11	6.16309e+11	2/22/19 13:45	5	4	E04	R12	14.2	51.5	32.4	16.2	7597	79	89	47	11	19	21	12	22	2656	3692	1957	1.9	NA	NA	NA	V5	HA -> V5	2nd
53	R12	3T3	HEK293		V5 IP 2	3T3:V5_mCherry (143)-HEK293:HA_GFP (151)	3T3:V5_mCherry (143)	HEK293:HA_GFP (151)	dPCR2_001	6.16309e+11	6.16309e+11	2/22/19 13:45	5	5	E05	R12	14.2	51.5	32.4	16.2	7670	75	84	44	11	17	19	11	23	2765	3837	2033	1.8	NA	NA	NA	V5	HA -> V5	2nd
54	R11	3T3	HEK293		HA IP 2	3T3:V5_mCherry (143)-HEK293:HA_GFP (151)	3T3:V5_mCherry (143)	HEK293:HA_GFP (151)	dPCR2_001	6.16309e+11	6.16309e+11	2/22/19 13:45	5	6	E06	R11	14.2	51.5	32.4	16.2	7737	488	559	296	4.3	1433	1758	932	2.5	296	334	178	5.5	NA	NA	NA	HA	V5 -> HA	2nd
55	R11	3T3	HEK293		HA IP 2	3T3:V5_mCherry (143)-HEK293:HA_GFP (151)	3T3:V5_mCherry (143)	HEK293:HA_GFP (151)	dPCR2_001	6.16309e+11	6.16309e+11	2/22/19 13:45	5	7	E07	R11	14.2	51.5	32.4	16.2	7776	511	583	309	4.2	1386	1685	893	2.6	252	282	150	6	NA	NA	NA	HA	V5 -> HA	2nd
56	R11	3T3	HEK293		HA IP 2	3T3:V5_mCherry (143)-HEK293:HA_GFP (151)	3T3:V5_mCherry (143)	HEK293:HA_GFP (151)	dPCR2_001	6.16309e+11	6.16309e+11	2/22/19 13:45	5	8	E08	R11	14.2	51.5	32.4	16.2	7542	505	594	315	4.2	1390	1748	927	2.5	258	298	159	5.9	NA	NA	NA	HA	V5 -> HA	2nd
66	R8	3T3	HEK293		V5 IP 1	3T3:V5_mCherry (143)-HEK293:HA_GFP (151)	3T3:V5_mCherry (143)	HEK293:HA_GFP (151)	dPCR2_001	6.16309e+11	6.16309e+11	2/22/19 13:45	6	6	F06	R8	14.2	51.5	32.4	16.2	7193	72	86	46	11	24	28	16	19	2513	3689	1955	1.9	NA	NA	NA	V5	V5 -> HA	1st
67	R8	3T3	HEK293		V5 IP 1	3T3:V5_mCherry (143)-HEK293:HA_GFP (151)	3T3:V5_mCherry (143)	HEK293:HA_GFP (151)	dPCR2_001	6.16309e+11	6.16309e+11	2/22/19 13:45	6	7	F07	R8	14.2	51.5	32.4	16.2	7637	72	81	43	11	38	42	23	15	2782	3888	2060	1.8	NA	NA	NA	V5	V5 -> HA	1st
68	R8	3T3	HEK293		V5 IP 1	3T3:V5_mCherry (143)-HEK293:HA_GFP (151)	3T3:V5_mCherry (143)	HEK293:HA_GFP (151)	dPCR2_001	6.16309e+11	6.16309e+11	2/22/19 13:45	6	8	F08	R8	14.2	51.5	32.4	16.2	7384	85	99	52	10	43	50	27	14	2689	3886	2059	1.8	NA	NA	NA	V5	V5 -> HA	1st
69	R7	3T3	HEK293		HA IP 1	3T3:V5_mCherry (143)-HEK293:HA_GFP (151)	3T3:V5_mCherry (143)	HEK293:HA_GFP (151)	dPCR2_001	6.16309e+11	6.16309e+11	2/22/19 13:45	6	9	F09	R7	14.2	51.5	32.4	16.2	7636	623	730	387	3.8	1826	2345	1243	2.2	287	328	175	5.6	NA	NA	NA	HA	HA -> V5	1st
