Device.Name	Plate.Name	Barcode	Date.Run	Well.number	Well.Row	Well.Column	Sample_number	culture_type	sample_type	cell_type	Well.Name	Group.Name	ROX.Threshold	FAM.Threshold	VIC.Threshold	CY5.Threshold	Number.Of.Positives.in.ROX	Number.Of.Positives.in.FAM	Number.of.templates.in.FAM	Concentration.in.FAM	CV..estimates.in.FAM	Number.Of.Positives.in.VIC	Number.of.templates.in.VIC	Concentration.in.VIC	CV..estimates.in.VIC	Number.Of.Positives.in.CY5	Number.of.templates.in.CY5	Concentration.in.CY5	CV..estimates.in.CY5	User.defined.attribute.1	User.defined.attribute.2	User.defined.attribute.3	IPantibody	matched_samples	sample_names
1	dPCR2_001	9.89531e+11	9.89531e+11	12/3/19 13:01	14	2	2	1	monoculture	IC	microglia	B02	DEFAULT	11.3	22.8	31.1	16.4	7671	1099	1327	703	2.9	4365	7225	3827	1.5	3681	5610	2971	1.6	NA	NA	NA	none	1	Microglia monoculture IC
2	dPCR2_001	9.89531e+11	9.89531e+11	12/3/19 13:01	26	3	2	1	monoculture	IC	microglia	C02	DEFAULT	11.3	22.8	31.1	16.4	7696	1860	2374	1257	2.2	5941	12689	6721	1.4	5305	10034	5315	1.4	NA	NA	NA	none	1	Microglia monoculture IC
3	dPCR2_001	9.89531e+11	9.89531e+11	12/3/19 13:01	38	4	2	1	monoculture	IC	microglia	D02	DEFAULT	11.3	22.8	31.1	16.4	7816	3268	4648	2462	1.7	7495	27404	14515	1.8	7303	23379	12383	1.6	NA	NA	NA	none	1	Microglia monoculture IC
4	dPCR2_001	9.89531e+11	9.89531e+11	12/3/19 13:01	15	2	3	2	monoculture	IC	organoid	B03	DEFAULT	11.3	22.8	31.1	16.4	7451	199	232	123	6.6	2	2	1.1	71	1566	2025	1073	2.4	NA	NA	NA	none	2	7A01 organoid monoculture IC
5	dPCR2_001	9.89531e+11	9.89531e+11	12/3/19 13:01	27	3	3	2	monoculture	IC	organoid	C03	DEFAULT	11.3	22.8	31.1	16.4	7410	384	456	242	4.8	3	3	1.6	58	2711	3909	2070	1.8	NA	NA	NA	none	2	7A01 organoid monoculture IC
6	dPCR2_001	9.89531e+11	9.89531e+11	12/3/19 13:01	39	4	3	2	monoculture	IC	organoid	D03	DEFAULT	11.3	22.8	31.1	16.4	7814	945	1106	586	3.1	22	24	13	20	5692	11189	5926	1.4	NA	NA	NA	none	2	7A01 organoid monoculture IC
7	dPCR2_001	9.89531e+11	9.89531e+11	12/3/19 13:01	16	2	4	3	monoculture	IC	organoid	B04	DEFAULT	11.3	22.8	31.1	16.4	7601	112	127	67	8.9	0	∞	0	0	623	734	389	3.8	NA	NA	NA	none	3	NDB06 organoid monoculture IC
8	dPCR2_001	9.89531e+11	9.89531e+11	12/3/19 13:01	28	3	4	3	monoculture	IC	organoid	C04	DEFAULT	11.3	22.8	31.1	16.4	7774	178	198	105	7.2	6	6	3.2	41	1276	1539	815	2.7	NA	NA	NA	none	3	NDB06 organoid monoculture IC
9	dPCR2_001	9.89531e+11	9.89531e+11	12/3/19 13:01	40	4	4	3	monoculture	IC	organoid	D04	DEFAULT	11.3	22.8	31.1	16.4	7546	359	418	221	5	1	1	0.5	100	2668	3745	1984	1.9	NA	NA	NA	none	3	NDB06 organoid monoculture IC
10	dPCR2_001	9.89531e+11	9.89531e+11	12/3/19 13:01	17	2	5	4	monoculture	IC	organoid	B05	DEFAULT	11.3	22.8	31.1	16.4	7552	73	83	44	11	0	∞	0	0	888	1073	568	3.2	NA	NA	NA	none	4	G7B12 organoid monoculture IC
11	dPCR2_001	9.89531e+11	9.89531e+11	12/3/19 13:01	29	3	5	4	monoculture	IC	organoid	C05	DEFAULT	11.3	22.8	31.1	16.4	7747	131	146	77	8.3	0	∞	0	0	1630	2027	1074	2.4	NA	NA	NA	none	4	G7B12 organoid monoculture IC
12	dPCR2_001	9.89531e+11	9.89531e+11	12/3/19 13:01	41	4	5	4	monoculture	IC	organoid	D05	DEFAULT	11.3	22.8	31.1	16.4	7808	309	346	183	5.4	0	∞	0	0	3704	5521	2924	1.6	NA	NA	NA	none	4	G7B12 organoid monoculture IC
13	dPCR2_001	9.89531e+11	9.89531e+11	12/3/19 13:01	18	2	6	5	coculture	IC	microglia_organoid	B06	DEFAULT	11.3	22.8	31.1	16.4	7673	346	396	210	5.1	97	109	58	9.6	2871	4023	2131	1.8	NA	NA	NA	none	5	7A01  co-culture # 1 IC
14	dPCR2_001	9.89531e+11	9.89531e+11	12/3/19 13:01	30	3	6	5	coculture	IC	microglia_organoid	C06	DEFAULT	11.3	22.8	31.1	16.4	7238	409	499	264	4.6	124	148	78	8.3	3280	5181	2744	1.7	NA	NA	NA	none	5	7A01  co-culture # 1 IC
15	dPCR2_001	9.89531e+11	9.89531e+11	12/3/19 13:01	42	4	6	5	coculture	IC	microglia_organoid	D06	DEFAULT	11.3	22.8	31.1	16.4	7860	1288	1536	814	2.7	440	494	262	4.6	6874	17819	9438	1.5	NA	NA	NA	none	5	7A01  co-culture # 1 IC
16	dPCR2_001	9.89531e+11	9.89531e+11	12/3/19 13:01	19	2	7	6	coculture	IC	microglia_organoid	B07	DEFAULT	11.3	22.8	31.1	16.4	7643	670	787	417	3.7	405	467	247	4.7	4682	8139	4311	1.5	NA	NA	NA	none	6	7A01  co-culture # 2 IC
