Device_Name	Plate_Name	Barcode	Date_Run	EH_sample_ID	Well_number	Well_Row	Well_Column	Well_Name	Group_Name	ROX_Threshold	FAM_Threshold	VIC_Threshold	CY5_Threshold	Number_Of_Positives_in_ROX	Number_Of_Positives_in_FAM	Number_of_templates_in_FAM	Concentration_in_FAM	CV%_estimates_in_FAM	Number_Of_Positives_in_VIC	Number_of_templates_in_VIC	Concentration_in_VIC	CV%_estimates_in_VIC	Number_Of_Positives_in_CY5	Number_of_templates_in_CY5	Concentration_in_CY5	CV%_estimates_in_CY5	User-defined_attribute_1	User-defined_attribute_2	User-defined_attribute_3	MH_Sample_ID	Sample_Type	HA_cell_type	V5_cell_type	IP_type	Concentration__ng_ul_	HA_donor	V5_donor
1	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	1	14	2	2	B02	DEFAULT	12.8	57.6	31.8	16.9	7893	889	1025	543	3.2	5136	9028	4782	1.4	2831	3813	2020	1.8	NA	NA	NA	7	IC	iGluN	iGluN		59	641	553
2	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	1	15	2	3	B03	DEFAULT	12.8	57.6	31.8	16.9	7864	749	859	455	3.5	5187	9250	4899	1.4	2870	3897	2064	1.8	NA	NA	NA	7	IC	iGluN	iGluN		59	641	553
3	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	1	16	2	4	B04	DEFAULT	12.8	57.6	31.8	16.9	7951	759	861	456	3.5	5512	10143	5372	1.4	2983	4036	2138	1.8	NA	NA	NA	7	IC	iGluN	iGluN		59	641	553
4	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	2	26	3	2	C02	DEFAULT	12.8	57.6	31.8	16.9	7974	569	635	336	4	1694	2049	1085	2.4	1247	1459	773	2.7	NA	NA	NA	8	IC	iGaN	iGaN		7.56	641	553
5	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	2	27	3	3	C03	DEFAULT	12.8	57.6	31.8	16.9	7970	575	642	340	4	1739	2112	1119	2.2999999999999998	1275	1496	792	2.7	NA	NA	NA	8	IC	iGaN	iGaN		7.56	641	553
6	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	2	28	3	4	C04	DEFAULT	12.8	57.6	31.8	16.9	8007	617	688	364	3.9	1769	2143	1135	2.2999999999999998	1356	1592	843	2.6	NA	NA	NA	8	IC	iGaN	iGaN		7.56	641	553
7	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	3	38	4	2	D02	DEFAULT	12.8	57.6	31.8	16.9	7870	401	448	237	4.8	1378	1652	875	2.6	5727	11166	5914	1.4	NA	NA	NA	9	IC	iGaN	iGluN		45.2	641	553
8	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	3	39	4	3	D03	DEFAULT	12.8	57.6	31.8	16.9	7855	403	452	239	4.8	1410	1698	899	2.6	5850	11721	6208	1.4	NA	NA	NA	9	IC	iGaN	iGluN		45.2	641	553
9	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	3	40	4	4	D04	DEFAULT	12.8	57.6	31.8	16.9	7913	358	397	210	5.0999999999999996	1498	1801	954	2.5	5996	12169	6445	1.4	NA	NA	NA	9	IC	iGaN	iGluN		45.2	641	553
10	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	4	50	5	2	E02	DEFAULT	12.8	57.6	31.8	16.9	7734	499	572	303	4.3	799	936	496	3.4	5006	8945	4738	1.5	NA	NA	NA	10	IC	iGaN	iGluN		55.4	553	553
11	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	4	51	5	3	E03	DEFAULT	12.8	57.6	31.8	16.9	7907	539	606	321	4.0999999999999996	813	931	493	3.4	5140	9013	4774	1.4	NA	NA	NA	10	IC	iGaN	iGluN		55.4	553	553
12	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	4	52	5	4	E04	DEFAULT	12.8	57.6	31.8	16.9	7833	493	558	296	4.3	820	949	503	3.3	5167	9251	4900	1.4	NA	NA	NA	10	IC	iGaN	iGluN		55.4	553	553
13	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	5	62	6	2	F02	DEFAULT	12.8	57.6	31.8	16.9	7782	821	957	507	3.3	1972	2508	1328	2.2000000000000002	4722	8012	4244	1.5	NA	NA	NA	11	IC	iGaN	iGluN		66.4	641	641
14	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	5	63	6	3	F03	DEFAULT	12.8	57.6	31.8	16.9	7705	792	931	493	3.4	1939	2488	1318	2.2000000000000002	4614	7840	4153	1.5	NA	NA	NA	11	IC	iGaN	iGluN		66.4	641	641
15	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	5	64	6	4	F04	DEFAULT	12.8	57.6	31.8	16.9	7661	873	1038	550	3.2	1937	2502	1325	2.2000000000000002	4488	7566	4007	1.5	NA	NA	NA	11	IC	iGaN	iGluN		66.4	641	641
16	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	6	74	7	2	G02	DEFAULT	12.8	57.6	31.8	16.9	7835	887	1031	546	3.2	876	1017	539	3.2	4215	6627	3510	1.5	NA	NA	NA	12	IC	iGaN	iGluN		71.4	553	641
17	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	6	75	7	3	G03	DEFAULT	12.8	57.6	31.8	16.9	7858	896	1039	550	3.2	909	1055	559	3.2	4344	6908	3659	1.5	NA	NA	NA	12	IC	iGaN	iGluN		71.4	553	641
18	dPCR2_001	2.99035e+11	2.99035e+11	2020-01-29 17:03:00	6	76	7	4	G04	DEFAULT	12.8	57.6	31.8	16.9	7804	938	1099	582	3.1	896	1046	554	3.2	4335	6959	3686	1.5	NA	NA	NA	12	IC	iGaN	iGluN		71.4	553	641
